process,gene,sign,source_basis
proliferation,Mki67,1,canonical_cell_cycle
proliferation,Pcna,1,canonical_cell_cycle
proliferation,Mcm2,1,canonical_cell_cycle
proliferation,Mcm5,1,canonical_cell_cycle
proliferation,Top2a,1,canonical_cell_cycle
proliferation,Ccnd1,1,canonical_cell_cycle
proliferation,Ccnb1,1,canonical_cell_cycle
activation,Sox2,1,adult_neural_stem_cell
activation,Ascl1,1,adult_neural_stem_cell_activation
activation,Fabp7,1,radial_glia_like_state
differentiation,Eomes,1,intermediate_progenitor
differentiation,Neurod1,1,neuronal_commitment
differentiation,Dcx,1,neuroblast_immature_neuron
differentiation,Tubb3,1,neuronal_differentiation
maturation,Dcx,1,immature_neuron
maturation,Neurod1,1,neuronal_maturation
maturation,Calb2,1,immature_granule_cell
maturation,Calb1,1,mature_granule_cell
maturation,Prox1,1,granule_lineage
maturation,Rbfox3,1,neuronal_maturity
integration,Syp,1,synaptic_vesicle
integration,Syn1,1,synaptic_vesicle
integration,Dlg4,1,postsynaptic_density
integration,Gria1,1,ampa_receptor
integration,Gria2,1,ampa_receptor
integration,Grin1,1,nmda_receptor
activity,Arc,1,activity_dependent_plasticity
activity,Egr1,1,immediate_early_gene
activity,Fos,1,immediate_early_gene
activity,Bdnf,1,plasticity_signaling
activity,Ntrk2,1,trkb_signaling
survival,Bcl2,1,anti_apoptotic
survival,Bcl2l1,1,anti_apoptotic
survival,Akt1,1,pro_survival_signaling
survival,Igf1,1,pro_survival_signaling
survival,Bax,-1,pro_apoptotic
survival,Casp3,-1,apoptotic_effector
niche,Aif1,1,microglial_state
niche,Cx3cr1,1,microglial_neuron_interaction
niche,Trem2,1,phagocytic_state
niche,Tyrobp,1,microglial_state
niche,C1qa,1,complement_phagocytosis
niche,C1qb,1,complement_phagocytosis
niche,Gfap,1,astroglial_niche
niche,S100b,1,astroglial_niche
energy,Ndufa1,1,oxidative_phosphorylation
energy,Ndufb8,1,oxidative_phosphorylation
energy,Cox4i1,1,oxidative_phosphorylation
energy,Cox5a,1,oxidative_phosphorylation
energy,Atp5f1a,1,oxidative_phosphorylation
energy,Atp5f1b,1,oxidative_phosphorylation
