parameter,low,high,scale,process,units,evidence_class
k_qa,0.012,0.035,log,activation,per_day,broad_literature_informed
k_aq,0.030,0.085,log,activation,per_day,broad_literature_informed
b_a,0.120,0.320,log,proliferation,cells_per_cell_day,broad_literature_informed
d_a,0.015,0.060,log,survival,per_day,broad_literature_informed
b_p,0.100,0.220,log,proliferation,per_day,broad_literature_informed
k_pn,0.140,0.300,log,differentiation,per_day,broad_literature_informed
d_p,0.060,0.180,log,survival,per_day,broad_literature_informed
k_nm,0.045,0.130,log,maturation,per_day,broad_literature_informed
d_n,0.020,0.085,log,survival,per_day,broad_literature_informed
k_mg,0.020,0.085,log,integration,per_day,broad_literature_informed
d_m,0.008,0.045,log,survival,per_day,broad_literature_informed
d_g,0.001,0.012,log,survival,per_day,broad_literature_informed
eff_mean,0.35,0.90,linear,activity,normalized_weight,model_uncertainty
eff_cv,0.10,0.45,linear,activity,coefficient_of_variation,model_uncertainty
tx_activation,0.95,1.35,log,treatment_activation,multiplier,ssri_literature_direction
tx_prolif,0.95,1.30,log,treatment_proliferation,multiplier,ssri_literature_direction
tx_maturation,0.90,1.50,log,treatment_maturation,multiplier,ssri_literature_direction
tx_integration,0.85,1.45,log,treatment_integration,multiplier,ssri_literature_direction
tx_eff,0.85,1.40,log,treatment_activity,multiplier,model_uncertainty
tx_survival,0.72,1.05,log,treatment_survival,loss_rate_multiplier,ssri_literature_direction
