set_id,design_group,model,reps,seed,t_end,Q0,A0,P0,N0,M0,G0,k_qa,k_aq,b_a,d_a,b_p,k_pn,d_p,k_nm,d_n,k_mg,d_m,d_g,eff_mean,eff_cv,tx_activation,tx_prolif,tx_maturation,tx_integration,tx_eff,tx_survival,tau
S000000,phase,full,4,21260828,56.0,60,4,8,10,15,12,0.020461056273877804,0.0835083212893956,0.1602588208683653,0.016262642713876778,0.2159937443154405,0.2743529985738442,0.09806428866958185,0.05423426019249795,0.03993501944230819,0.022522911414397002,0.015104755901140963,0.009613371735681645,0.7051106638109594,0.4305059767551346,0.9926882489633957,1.1232795044616046,0.9448026567022999,1.073932354174412,1.289898009573501,0.8686541133117092,14.0
S000001,phase,full,4,22260831,56.0,60,4,8,10,15,12,0.02009346578512486,0.07048779674469842,0.2633976113016021,0.029582916925595275,0.2181001290256855,0.29350271805378125,0.1759205930292529,0.05497701622177186,0.05918547764055204,0.02145644861793129,0.01190864769327055,0.0011294561379146487,0.5535461423738663,0.40524574080655174,1.0439733180461028,1.1613563594458984,1.1435878282613128,1.0502860880126195,1.0727730352324811,0.9680613591429971,14.0
S000002,phase,full,4,23260834,56.0,60,4,8,10,15,12,0.031044117296127063,0.06311541084812469,0.2233398552811049,0.025313796891572968,0.12738083959257981,0.18277621648820633,0.09236199402250402,0.0818760487690217,0.041399329789138656,0.04644375200975156,0.009358796303570881,0.008217174038209932,0.4887596607984527,0.21330441424936472,1.0761648214374064,1.1408842891291002,1.4540104760696078,1.0940510241045773,1.254817296815108,0.9353742482668808,14.0
S000003,phase,full,4,24260837,56.0,60,4,8,10,15,12,0.027492744096457952,0.06586221422452188,0.30764646616878577,0.04709505094758111,0.10373475203639476,0.1414324763000043,0.16252115443456214,0.06307147228532724,0.051855288934587275,0.047357666892958776,0.034702727136595474,0.0052731298071848984,0.5011740491968071,0.20604265770976105,1.100407305351891,1.2296449489776555,1.1424113032232739,1.2469164145563538,1.1054693842646084,0.8186501938356906,14.0
S000004,phase,full,4,25260840,56.0,60,4,8,10,15,12,0.01830127989147517,0.03591667799382524,0.15375759311613277,0.015653808903423796,0.1115208978189733,0.174753228911642,0.17113964902989678,0.06870405039975173,0.02836964875586615,0.03127927842852617,0.01289774396403061,0.0022489325548371375,0.8671970638030089,0.2629646408731856,1.1681294406353988,1.0425704840486543,1.0811928119221395,1.1441255034974722,1.273875724846022,0.8828710528256183,14.0
S000005,phase,full,4,26260843,56.0,60,4,8,10,15,12,0.021140471840451647,0.048976518659927214,0.12030550652079022,0.04225313766574237,0.10976192139785741,0.15591141816611714,0.16137730383397714,0.12247869971798474,0.02046382185474371,0.04625291076401132,0.04358858609056387,0.011474696379263037,0.8750412760520885,0.36097836545268824,1.3062153919473691,1.0008785088521317,1.0977389656310874,1.2797751069289165,1.320248706989755,0.8413308928452173,14.0
S000006,phase,full,4,27260846,56.0,60,4,8,10,15,12,0.028637530097247333,0.08238851878177768,0.2956805683326331,0.03829666870499193,0.13111298463099025,0.23111600745401323,0.12461636524389048,0.07546544724647782,0.061200831313937616,0.04764046451048278,0.011828961942020327,0.005767226639649781,0.7258796080299885,0.2180405880114663,1.041582061708329,0.9686015733474154,0.9970874137936632,1.0221407420287092,0.9040196238175628,0.8130571200013111,14.0
S000007,phase,full,4,28260849,56.0,60,4,8,10,15,12,0.012785101875125843,0.036912456015379784,0.1990284019557057,0.04587752128064649,0.2112460213133217,0.24008667031235048,0.1346896669099306,0.125455288943576,0.03907837919622016,0.04565026119295385,0.018319350258777487,0.005246299968262738,0.5529452198004526,0.33731643270398226,1.057925263102132,1.0144013897145527,1.4974256382120759,0.9194906686210741,1.396897858008893,0.8622202697601767,14.0
S000008,phase,full,4,29260852,56.0,60,4,8,10,15,12,0.03186559310548392,0.03544581022279227,0.19445530266171002,0.028410942090933814,0.1365548648438198,0.1740810467186364,0.06306491553169805,0.06971940058319517,0.027109679050243102,0.06451886054311218,0.03843890339006225,0.001313519840844691,0.6980007358326781,0.24210807257503403,1.0268032899909618,1.1281398151857875,1.140581032561587,1.2362365599116383,0.9674812727276461,1.0368546132410053,14.0
S000009,phase,full,4,30260855,56.0,60,4,8,10,15,12,0.015044258520661824,0.03458389875001847,0.19992597826401884,0.03150155262247674,0.1276768180422628,0.17630306407689833,0.1102778828695481,0.06904818171623324,0.04451495284003635,0.022424538667183594,0.018090777410166552,0.0017416866832194124,0.859189655599939,0.3762397200428804,1.1042559344169496,1.033769823429008,1.3658571034221583,1.1589741310846378,1.1028967782806698,0.9783076506881484,14.0
