set_id,base_id,Q0,A0,P0,N0,M0,G0,k_qa,k_aq,b_a,d_a,b_p,k_pn,d_p,k_nm,d_n,k_mg,d_m,d_g,eff_mean,eff_cv,tx_activation,tx_prolif,tx_maturation,tx_integration,tx_eff,tx_survival,tau,activation_on,proliferation_on,maturation_on,integration_on,efficacy_on,survival_on,n_rep,delta_extent,sd_delta_extent,delta_fni,sd_delta_fni,mismatch_reps,aligned_gain_reps,delta_Q,delta_A,delta_P,delta_N,delta_M,delta_G,mismatch_probability,aligned_gain_probability,posterior_mismatch_gt_half,posterior_aligned_gt_half,response_class
S0000000,P00000,60,4,8,10,15,12,0.0121245309229631,0.0770343929237978,0.1523529344133756,0.0176872047773223,0.1857926913479756,0.2281333999332148,0.1625380876041786,0.084962247828294,0.0408798035350849,0.0556770537889854,0.0418149236959161,0.0037037935482535,0.3665117166584175,0.3654828931312021,1.1108491461854602,1.0951281418432042,1.454191723144555,1.1616463478383834,0.8978495965111067,0.8182292259785106,14.0,1,1,1,1,1,1,16,13.0625,7.903322086312818,2.4244224203375,1.6086554757931217,0,16,-1.0625,2.3125,4.0,-1.125,3.625,9.4375,0.029411764705882353,0.9705882352941176,2.0476003123314444e-06,0.9999979523996876,robust_aligned_gain
S0000001,P00001,60,4,8,10,15,12,0.0234445370043328,0.0844983597095937,0.1700027775986611,0.0397261994714472,0.1045872043291914,0.1472079647112453,0.0893191751756372,0.0948355611722879,0.0335154523365153,0.0466860646610034,0.0273479896574842,0.0014681487753902,0.6075777409964842,0.1460051812547986,1.2506847842743851,1.296356538057904,0.9323001499668988,1.2005973248647177,0.9880566253933002,0.8259175934196649,14.0,1,1,1,1,1,1,16,28.4375,14.052135069091815,11.0323573243125,5.569565744850073,0,16,-5.125,1.4375,12.3125,11.75,9.9375,18.5,0.029411764705882353,0.9705882352941176,2.0476003123314444e-06,0.9999979523996876,robust_aligned_gain
S0000002,P00002,60,4,8,10,15,12,0.0205038757563971,0.0579955667502041,0.1618751161274081,0.0519868640761948,0.126053685006078,0.1795598905030446,0.1205698865184326,0.046862708589475,0.0741245422722499,0.0216074072195213,0.0165121512555006,0.0028821203684777,0.6847360796863668,0.3188508893427964,0.9920267372170538,1.1367169450832293,1.2696467425152698,0.8756256494298784,0.8528813371978136,0.9334636340374948,14.0,1,1,1,1,1,1,16,7.125,6.631993164451644,-0.5853499811437499,1.576390740675166,9,5,-1.125,0.0625,4.9375,0.1875,6.0,1.125,0.5588235294117647,0.3235294117647059,0.6906920490053556,0.06556623422088109,uncertain_or_other
S0000003,P00003,60,4,8,10,15,12,0.0290376007268657,0.0569248795574261,0.224702574744728,0.0189709293030474,0.1550835596470866,0.1714169925478349,0.1732296701022781,0.079529735364476,0.0309859972544699,0.0422221046496985,0.0086479084077504,0.0027529936301639,0.5326958368140677,0.1983466731272664,1.0905948520124418,0.9760928730425376,1.2839075521221426,0.8652567145099987,1.021408055164155,0.8800379318251665,14.0,1,1,1,1,1,1,16,12.125,15.426708441314801,2.656615593538125,3.408335409795098,0,11,0.3125,-0.5625,-0.875,-5.0,8.125,4.0,0.029411764705882353,0.6764705882352942,2.0476003123314444e-06,0.9344337657791189,uncertain_or_other
S0000004,P00004,60,4,8,10,15,12,0.0124045412296375,0.073392380514137,0.3195552388310599,0.0594809127440932,0.1012569887941734,0.1458173417967177,0.1493543916398051,0.1157159398069736,0.0241420117158315,0.0589341805117602,0.0139909382296975,0.0039646151927763,0.4320535135275944,0.1856918756395402,0.9539725407951772,1.255325245211004,1.4761032279609438,1.3715063602520012,1.0848287447421383,0.9633976817259766,14.0,1,1,1,1,1,1,16,18.0,12.473972903610141,10.37305450625,4.584677880923414,0,16,2.0625,-0.5,3.6875,0.3125,-1.3125,19.3125,0.029411764705882353,0.9705882352941176,2.0476003123314444e-06,0.9999979523996876,robust_aligned_gain
S0000005,P00005,60,4,8,10,15,12,0.0135295329341953,0.0409514886989285,0.2233183399886826,0.0179055134640209,0.1801690478642034,0.1769144433915107,0.0785793566587748,0.0748289061247453,0.0291818579927553,0.0674731613991063,0.027575808740938,0.0017304850342419,0.6456601142959633,0.2350915762592931,1.1422833461551496,1.1190764412674952,1.4719110208275157,1.4101981492669076,1.216001047402511,0.7806707174180152,14.0,1,1,1,1,1,1,16,69.5625,25.760353905436414,48.328902115625,16.890120201905848,0,16,-3.4375,2.125,14.0,7.625,17.75,51.8125,0.029411764705882353,0.9705882352941176,2.0476003123314444e-06,0.9999979523996876,robust_aligned_gain
S0000006,P00006,60,4,8,10,15,12,0.0162058442782256,0.0538953039660176,0.1261959953546534,0.0205238122424599,0.1389461775421884,0.1753233429623271,0.0864082380169807,0.051142702147336,0.0243311583318444,0.041841178929622,0.022567200743568,0.0011258555718533,0.8994967832250893,0.2638725009849607,1.1270209348430975,1.1170621014934488,1.1031019457826428,1.2753812279583312,1.3567535122768484,0.8703230240909093,14.0,1,1,1,1,1,1,16,13.3125,7.786473313809446,18.0972251925,7.398921028585501,0,15,-1.6875,1.25,4.9375,4.5625,4.125,9.1875,0.029411764705882353,0.9117647058823529,2.0476003123314444e-06,0.9999285415287027,robust_aligned_gain
S0000007,P00007,60,4,8,10,15,12,0.0124264121327795,0.0847258564701267,0.2041759524813951,0.0331525857006473,0.1184019438922323,0.1694191047083932,0.083319078138998,0.0786421352911009,0.0280427706032454,0.0533810632560469,0.011434414664295,0.0017170473387843,0.7475917137210346,0.173669262234362,0.9600482342826666,1.2497641262874912,0.9662961660320776,1.1637497364682372,1.2825365149089616,0.8589198830030398,14.0,1,1,1,1,1,1,16,12.0,9.919677414109795,13.6020206530625,7.432569034477956,0,14,0.625,0.625,5.25,7.5,4.5625,7.4375,0.029411764705882353,0.8529411764705882,2.0476003123314444e-06,0.9992112958618581,robust_aligned_gain
S0000008,P00008,60,4,8,10,15,12,0.02678961437094,0.0723177315097817,0.1975817569791381,0.0341200521616709,0.1073291571953535,0.1658190357628974,0.1161292750333623,0.1261550785394576,0.0427835526380823,0.040201067386834,0.0310792602447037,0.0014971736344829,0.3776860858149498,0.2688535687805425,1.1384878467432678,1.2944172983366389,0.9785879964072648,1.3479160180936376,1.0672533409404856,0.733375383929401,14.0,1,1,1,1,1,1,16,33.625,11.62110149684616,8.898258860375,3.0740866160357516,0,16,-2.125,0.5625,8.1875,9.8125,12.625,21.0,0.029411764705882353,0.9705882352941176,2.0476003123314444e-06,0.9999979523996876,robust_aligned_gain
S0000009,P00009,60,4,8,10,15,12,0.0160705347031074,0.0411570362421729,0.2359357057938952,0.0217931381118035,0.1423287197349848,0.171911653322393,0.1753338589115727,0.1094803867039183,0.0495606340794581,0.0602813647347873,0.0198179020865747,0.0066132851783736,0.8757492594726115,0.2809617090157815,1.3225527329243734,1.193541107165622,1.2882590782306371,0.8978020413344716,0.8974517712973128,0.8115674864462853,14.0,1,1,1,1,1,1,16,29.0625,15.476729844080973,8.1590069176875,6.923765244656108,2,14,-2.875,1.0625,6.75,3.4375,14.125,14.9375,0.14705882352941177,0.8529411764705882,0.0007887041381419231,0.9992112958618581,robust_aligned_gain
