parameter,prcc,outcome
k_qa,0.39277408368040606,delta_extent
k_aq,-0.2064296208067972,delta_extent
b_a,0.5099685668023076,delta_extent
d_a,-0.25768852867607855,delta_extent
b_p,0.5279651668213308,delta_extent
k_pn,-0.198271247658568,delta_extent
d_p,-0.40423821492362094,delta_extent
k_nm,0.1681411630255198,delta_extent
d_n,-0.10869273861999144,delta_extent
k_mg,0.01485073694318364,delta_extent
d_m,-0.11115777057778431,delta_extent
d_g,-0.02754366930381995,delta_extent
eff_mean,0.06228300097795463,delta_extent
eff_cv,0.017014981133310698,delta_extent
tx_activation,0.29902334048401213,delta_extent
tx_prolif,0.7520447654464468,delta_extent
tx_maturation,0.4630294400562792,delta_extent
tx_integration,0.12754333449230157,delta_extent
tx_eff,0.01750874486375268,delta_extent
tx_survival,-0.43270025555300995,delta_extent
k_qa,0.3853181331596455,delta_fni
k_aq,-0.17531603883076283,delta_fni
b_a,0.5035923431430238,delta_fni
d_a,-0.1990427768076216,delta_fni
b_p,0.48434896438174346,delta_fni
k_pn,-0.14142065562166242,delta_fni
d_p,-0.3950931185849935,delta_fni
k_nm,0.22835900750592494,delta_fni
d_n,-0.16474824768049756,delta_fni
k_mg,0.4186869762893288,delta_fni
d_m,-0.13407552303676432,delta_fni
d_g,-0.056132865313584294,delta_fni
eff_mean,0.544205185769866,delta_fni
eff_cv,0.01902771643148174,delta_fni
tx_activation,0.23856310156176147,delta_fni
tx_prolif,0.6088461198156156,delta_fni
tx_maturation,0.41016488706686666,delta_fni
tx_integration,0.550749628903689,delta_fni
tx_eff,0.7337036927009327,delta_fni
tx_survival,-0.3449733305815921,delta_fni
