parameter,outcome,base_n,S1,ST
k_qa,delta_extent,128,-0.22037445893331298,0.0970492930425501
k_qa,delta_extent,256,-0.03634257668953689,0.09134358500201496
k_qa,delta_extent,512,-0.050930066616688974,0.09170164174371877
k_qa,delta_extent,2048,-0.0015706379628472877,0.06272897845938864
k_aq,delta_extent,128,-0.007972325525164692,0.007191242775017962
k_aq,delta_extent,256,0.053329572237220124,0.015801295990303905
k_aq,delta_extent,512,0.03990413278223315,0.016707105998300685
k_aq,delta_extent,2048,0.01937146084505259,0.014235825301280099
b_a,delta_extent,128,-0.18906221928215627,0.12339493950706736
b_a,delta_extent,256,-0.09316105943870268,0.10394112348419976
b_a,delta_extent,512,-0.050568535398823,0.11576916941923773
b_a,delta_extent,2048,0.02847573932548919,0.09048075039561146
d_a,delta_extent,128,-0.0751797017388709,0.01910568289036444
d_a,delta_extent,256,0.00223034926769905,0.029031142943555053
d_a,delta_extent,512,0.020011624245011905,0.02258131454621763
d_a,delta_extent,2048,-0.02891486241564767,0.018597374362251104
b_p,delta_extent,128,-0.24377541552358717,0.4174360599152492
b_p,delta_extent,256,-0.31353353831258945,0.48478384734219215
b_p,delta_extent,512,-0.09957749371932678,0.44327923485492815
b_p,delta_extent,2048,0.005573500507862206,0.4578562466430008
k_pn,delta_extent,128,-0.276925676201484,0.24210967667220135
k_pn,delta_extent,256,-0.213411906815411,0.20110826921409364
k_pn,delta_extent,512,-0.31445512537816955,0.31478489329206033
k_pn,delta_extent,2048,-0.02544385043854147,0.23581106483966682
d_p,delta_extent,128,0.12871756116412458,0.10692431958755734
d_p,delta_extent,256,0.12563553580659048,0.10541339188422744
d_p,delta_extent,512,0.0035630970803165463,0.20471358923803484
d_p,delta_extent,2048,0.04554994185810757,0.25612026481970446
k_nm,delta_extent,128,-0.04472344342911638,0.023657141420516534
k_nm,delta_extent,256,0.00638978005078239,0.035572291121527745
k_nm,delta_extent,512,0.029815689352590713,0.03262026728079396
k_nm,delta_extent,2048,0.03216557226898542,0.02304349164524752
d_n,delta_extent,128,-0.06756004448892305,0.006712912071279197
d_n,delta_extent,256,-0.01073081707956658,0.008159093596752582
d_n,delta_extent,512,-0.003897140610879646,0.007693999122716506
d_n,delta_extent,2048,0.011065988588011999,0.006132821774016896
k_mg,delta_extent,128,-0.03797518593276639,0.0004272047874986819
k_mg,delta_extent,256,-0.023711598518509236,0.0006803898689287769
k_mg,delta_extent,512,-0.008423524139022698,0.0007060630911299202
k_mg,delta_extent,2048,-0.0019158909650778266,0.000500747889837329
d_m,delta_extent,128,-0.008472710423688357,0.006137423753921802
d_m,delta_extent,256,-0.026453089612036296,0.007772921826766984
d_m,delta_extent,512,-0.007382307090476381,0.006936158479265205
d_m,delta_extent,2048,-0.007298186898113013,0.005802507756049058
d_g,delta_extent,128,-0.038112854059358936,0.00023597098233900195
d_g,delta_extent,256,-0.01983763260340554,0.00029108292203626767
d_g,delta_extent,512,-0.0028136630048036793,0.0002991366751746228
d_g,delta_extent,2048,8.233537174429095e-05,0.0003441273092234613
eff_mean,delta_extent,128,-0.03482215372981767,0.0
eff_mean,delta_extent,256,-0.015055413840879828,0.0
eff_mean,delta_extent,512,-0.00023834164482749998,0.0
eff_mean,delta_extent,2048,0.0005387035306771981,0.0
eff_cv,delta_extent,128,-0.03482215372981767,0.0
eff_cv,delta_extent,256,-0.015055413840879828,0.0
eff_cv,delta_extent,512,-0.00023834164482749998,0.0
eff_cv,delta_extent,2048,0.0005387035306771981,0.0
tx_activation,delta_extent,128,-0.07238384369356576,0.018180357418723536
tx_activation,delta_extent,256,-0.05924862741568271,0.022650753160135144
tx_activation,delta_extent,512,-0.001110394017629579,0.02245012450233762
tx_activation,delta_extent,2048,0.016535320222014538,0.016743113646178875
tx_prolif,delta_extent,128,0.03042644752844459,0.4530191686681136
tx_prolif,delta_extent,256,-0.05504934210667489,0.4554251502873928
tx_prolif,delta_extent,512,0.05835857064830452,0.5039923737708122
tx_prolif,delta_extent,2048,0.18091616290884838,0.39932875765452175
tx_maturation,delta_extent,128,0.08888886943424534,0.04139163257859894
tx_maturation,delta_extent,256,0.07644364710936213,0.04792812923286438
tx_maturation,delta_extent,512,0.04566773327839346,0.05120106922067779
tx_maturation,delta_extent,2048,0.010586264450148652,0.03918524390357818
tx_integration,delta_extent,128,-0.028784656715863832,0.0013511843229213427
tx_integration,delta_extent,256,-0.03216583112607174,0.0025881297558440004
tx_integration,delta_extent,512,-0.007383185982053453,0.002383927206707071
tx_integration,delta_extent,2048,-0.003423305900652762,0.0014865836132381908
tx_eff,delta_extent,128,-0.03482215372981767,0.0
tx_eff,delta_extent,256,-0.015055413840879828,0.0
tx_eff,delta_extent,512,-0.00023834164482749998,0.0
tx_eff,delta_extent,2048,0.0005387035306771981,0.0
