parameter,outcome,S1,S1_low,S1_high,ST,ST_low,ST_high
k_qa,delta_extent,-0.0015706379628472877,-0.06922365073945944,0.07130477448634837,0.06272897845938864,0.04505019343490416,0.08391054823826156
k_aq,delta_extent,0.01937146084505259,-0.022970555082489953,0.06577169132595687,0.014235825301280099,0.010507585593767124,0.018615019420856294
b_a,delta_extent,0.02847573932548919,-0.04410717885434005,0.10497682265461371,0.09048075039561146,0.06606386889509003,0.11775176561032662
d_a,delta_extent,-0.02891486241564767,-0.06993605226526688,0.012336138660311167,0.018597374362251104,0.013246093550071893,0.0246449368359346
b_p,delta_extent,0.005573500507862206,-0.17400259199218496,0.18385303075337694,0.4578562466430008,0.3231995075021319,0.64202878187215
k_pn,delta_extent,-0.02544385043854147,-0.19709028523561006,0.13213833066400246,0.23581106483966682,0.1568602713264253,0.33265908273825195
d_p,delta_extent,0.04554994185810757,-0.10961922218555357,0.170946992971348,0.25612026481970446,0.17248718429832852,0.35654853907616874
k_nm,delta_extent,0.03216557226898542,-0.022073020711257486,0.07922319970110592,0.02304349164524752,0.017358761489752923,0.02992065595070072
d_n,delta_extent,0.011065988588011999,-0.02103324036517245,0.042058121524692786,0.006132821774016896,0.004368601369759396,0.008328252710074355
k_mg,delta_extent,-0.0019158909650778266,-0.029851438410524078,0.028219383984537053,0.000500747889837329,0.00035969204361976925,0.0006973023613452639
d_m,delta_extent,-0.007298186898113013,-0.04042753492959973,0.024812862949065585,0.005802507756049058,0.004229551913281656,0.007845351876688991
d_g,delta_extent,8.233537174429095e-05,-0.03014697213970379,0.029974985537126176,0.0003441273092234613,0.0002539572229536615,0.00046147656709418845
eff_mean,delta_extent,0.0005387035306771981,-0.02453173064640237,0.029657065761228667,0.0,0.0,0.0
eff_cv,delta_extent,0.0005387035306771981,-0.02736343473882325,0.032004419359339176,0.0,0.0,0.0
tx_activation,delta_extent,0.016535320222014538,-0.017651624315625336,0.05449749914058431,0.016743113646178875,0.012910852668790124,0.021580615953124577
tx_prolif,delta_extent,0.18091616290884838,0.04390561127143848,0.3046163356393425,0.39932875765452175,0.2961158155434652,0.5377299722328354
tx_maturation,delta_extent,0.010586264450148652,-0.0323318372688888,0.05554641870755759,0.03918524390357818,0.03040309561520752,0.05087244102984128
tx_integration,delta_extent,-0.003423305900652762,-0.031096972416805358,0.02687069763987743,0.0014865836132381908,0.0011163897485127856,0.0019307026511491308
tx_eff,delta_extent,0.0005387035306771981,-0.025872648238879768,0.030449931982731625,0.0,0.0,0.0
tx_survival,delta_extent,0.010577377988659209,-0.018379316076418444,0.041939370850524293,0.022584951143197963,0.017580815476877783,0.029053128612368907
k_qa,delta_fni,0.003208206677271175,-0.0763220719360567,0.0893765799050528,0.06564532620375728,0.05367013393020062,0.07695832786052915
k_aq,delta_fni,-0.0124259660279884,-0.05136165468483433,0.032660222263291044,0.013481239342857667,0.010883719856497241,0.016430269583619386
b_a,delta_fni,0.049555199378989334,-0.00021447781604683723,0.09882155996893845,0.09310156635988803,0.07772801533515294,0.11273288649013531
d_a,delta_fni,-0.018610842344838563,-0.05890259334178629,0.023060522203958322,0.015027223163663912,0.012188722740763559,0.018208028407551202
b_p,delta_fni,-0.028000099189059213,-0.1811651303756136,0.08303669145136808,0.2367341500465114,0.17638313288206103,0.30406288446659613
k_pn,delta_fni,-0.025201411632403303,-0.13220899932848315,0.09047583246150939,0.10211945312290899,0.06478313255891943,0.14899818787161534
d_p,delta_fni,0.0361360568190211,-0.10654301476462516,0.16018873148222065,0.16875192950996443,0.11547983900573551,0.22241618461258494
k_nm,delta_fni,0.024108871353293315,-0.02499333736425252,0.07064967444913012,0.028963497788647034,0.024322321762050653,0.03532402842450998
d_n,delta_fni,0.0017013658104103602,-0.034619783254985534,0.044168730420991946,0.00879406350592561,0.006939596792867009,0.010701958440150025
k_mg,delta_fni,0.0658896667562251,-0.01618542935307868,0.15242376198936822,0.09489833766547412,0.07438384874603012,0.11946442513551779
d_m,delta_fni,-0.005406697964057461,-0.04066872741672375,0.03234190308667988,0.006172151128335611,0.005030335980410845,0.007330318042209582
d_g,delta_fni,-0.014784224837567583,-0.051597122831841105,0.024532613806466857,0.0018393334826350455,0.0015219548025834668,0.0022462154086887484
eff_mean,delta_fni,0.01686769253605247,-0.04331546945997938,0.08019223463198642,0.11181520313898506,0.08883021150474033,0.13925036511491215
eff_cv,delta_fni,-0.007740316978647188,-0.04316263895887865,0.02851197771362217,0.0,0.0,0.0
tx_activation,delta_fni,-0.00822263818772817,-0.0532848412539191,0.03553256805248585,0.010895291621662936,0.009409085554791941,0.012835553204118434
tx_prolif,delta_fni,-0.025379040815487697,-0.24630820646475635,0.12014109879326706,0.25816255771841845,0.17982790581707678,0.40687170561566116
tx_maturation,delta_fni,-0.010973927515163906,-0.0558568419992547,0.03315135722740902,0.035447999813164426,0.028714699705735414,0.042993411656047135
tx_integration,delta_fni,0.05214173036876246,-0.012946300087256531,0.12096210672997448,0.07694272557684313,0.06402952811826662,0.09105121814380113
tx_eff,delta_fni,0.18546558997709817,0.11528776269696485,0.254821340559634,0.1956898826290213,0.17450608300840373,0.2214708200642149
tx_survival,delta_fni,0.0026578684725243606,-0.032224233660026774,0.04283681990971253,0.020994192773217322,0.017771002571474584,0.024848264151026003
