set_id,base_id,t_end,delta_extent,delta_fni,mismatch_probability
S0002048,P00000,7,0.75,0.42760519606999997,0.0
S0002049,P00001,7,0.5,0.32632208372500005,0.0
S0002050,P00002,7,0.25,-0.05951999782924999,0.5
S0002051,P00003,7,0.0,0.16272472242199998,0.0
S0002052,P00004,7,0.0,-0.04867697057249999,0.0
S0002053,P00005,7,0.5,0.53967559715,0.0
S0002054,P00006,7,0.5,0.46821583375000003,0.0
S0002055,P00007,7,-0.75,0.450058836515,0.0
S0002056,P00008,7,0.5,0.340478666065,0.0
S0002057,P00009,7,0.25,-0.703966969575,0.0
S0002058,P00010,7,-0.25,0.21581304433250004,0.0
S0002059,P00011,7,-0.75,0.3681851413452749,0.0
S0002060,P00012,7,0.25,0.24578655623000004,0.5
S0002061,P00013,7,0.25,0.103092504675,0.0
S0002062,P00014,7,1.0,0.27184267812824997,0.0
S0002063,P00015,7,1.0,0.076338464895,0.25
S0002064,P00016,7,0.75,0.13247799519999998,0.0
S0002065,P00017,7,0.0,-0.029150854777500002,0.25
S0002066,P00018,7,0.25,0.466521154575,0.0
S0002067,P00019,7,0.5,0.385798434825,0.0
S0002068,P00020,7,0.0,0.28883382409999997,0.25
S0002069,P00021,7,-0.25,-0.0533074799325,0.0
S0002070,P00022,7,0.75,-0.19903958112499998,0.5
S0002071,P00023,7,-1.0,-0.4315874624525,0.0
S0002072,P00024,7,1.0,-0.055747506979999986,0.25
S0002073,P00025,7,0.0,0.10901605647675,0.0
S0002074,P00026,7,0.25,-0.12725964908999998,0.25
S0002075,P00027,7,0.25,0.5502660773999999,0.0
S0002076,P00028,7,-0.25,0.08394391082000002,0.0
S0002077,P00029,7,-0.25,-0.4016721338325,0.25
S0002078,P00030,7,0.25,0.061039934952499986,0.0
S0002079,P00031,7,-0.5,0.3205022986625,0.0
S0002080,P00032,7,0.5,0.2052959798,0.0
S0002081,P00033,7,-0.5,0.22469668798,0.0
S0002082,P00034,7,1.0,0.012477061192499993,0.25
S0002083,P00035,7,-1.0,-0.1718117189925,0.0
S0002084,P00036,7,0.25,0.2333203016775,0.0
S0002085,P00037,7,0.25,-0.11432745214725,0.25
S0002086,P00038,7,0.25,0.09413074658500001,0.0
S0002087,P00039,7,0.0,-0.297699998925,0.0
S0002088,P00040,7,0.75,0.8674626579,0.0
S0002089,P00041,7,-0.75,0.00436654428525,0.0
S0002090,P00042,7,-0.5,0.351246942185,0.0
S0002091,P00043,7,-0.25,-0.0468942150715,0.0
S0002092,P00044,7,0.5,1.094440780685,0.0
S0002093,P00045,7,0.25,-0.045509675515,0.25
S0002094,P00046,7,0.0,-0.0312776153345,0.0
S0002095,P00047,7,-0.5,0.20624639746275,0.0
S0002096,P00048,7,0.5,0.05482742174125,0.0
S0002097,P00049,7,0.5,0.1273799370825,0.0
S0002098,P00050,7,0.0,0.20563712675625,0.0
S0002099,P00051,7,0.25,0.27563527379249997,0.0
S0002100,P00052,7,0.75,0.17034418417975,0.0
S0002101,P00053,7,0.25,0.1396365712875,0.0
S0002102,P00054,7,-0.75,0.086328610095,0.0
S0002103,P00055,7,0.75,0.1328184835625,0.0
S0002104,P00056,7,-1.25,-0.74626061575,0.25
S0002105,P00057,7,0.25,-0.25968883004500004,0.0
S0002106,P00058,7,-0.25,0.026136255358000002,0.0
S0002107,P00059,7,0.25,-0.2046101394,0.25
S0002108,P00060,7,0.5,0.2356941696115,0.0
S0002109,P00061,7,-0.25,0.45625126302499996,0.0
S0002110,P00062,7,0.0,0.023274970575975,0.0
S0002111,P00063,7,0.0,0.14980660774600002,0.0
S0002112,P00064,7,-0.25,-0.172759899775,0.25
S0002113,P00065,7,0.5,-0.387391092025,0.5
S0002114,P00066,7,0.5,0.21820254417749999,0.0
S0002115,P00067,7,0.25,0.251287539481,0.0
S0002116,P00068,7,0.5,0.048792738755,0.0
S0002117,P00069,7,0.75,0.51528645419,0.25
S0002118,P00070,7,0.0,0.02979542225250001,0.25
S0002119,P00071,7,1.75,0.16423647516,0.0
S0002120,P00072,7,-0.25,0.0135270421425,0.0
S0002121,P00073,7,0.5,0.47733461106,0.0
S0002122,P00074,7,1.25,-0.2461547642375,0.75
S0002123,P00075,7,1.0,0.013814175847500002,0.5
S0002124,P00076,7,-0.75,-0.5648496116474999,0.0
S0002125,P00077,7,0.25,0.17965313298399999,0.0
S0002126,P00078,7,1.0,0.3671201261015,0.0
S0002127,P00079,7,-0.25,0.1961417345,0.0
S0002128,P00080,7,-0.5,0.1181848115825,0.0
S0002129,P00081,7,0.0,0.022763091037499992,0.25
S0002130,P00082,7,0.25,0.27471228278,0.0
