region,cell_type,process,n_ft,n_sham,n_genes,mean_ft,mean_sham,difference,hedges_g,p_permutation,genes_present,q_bh
dorsal_DG,AstroSub1,proliferation,4,4,7,0.06827260564546071,0.05115436331363624,0.01711824233182447,0.34882597502730406,0.6,Mki67;Pcna;Mcm2;Mcm5;Top2a;Ccnd1;Ccnb1,0.9199999999999999
dorsal_DG,BergGlia,proliferation,3,4,7,0.05795609111306387,0.31493583620772325,-0.2569797450946594,-1.9029960913062234,0.02857142857142857,Mki67;Pcna;Mcm2;Mcm5;Top2a;Ccnd1;Ccnb1,0.5914285714285714
dorsal_DG,Endothelial,proliferation,3,4,7,0.16362728807231308,0.1692809309313212,-0.005653642859008129,-0.10141089521498267,0.8857142857142857,Mki67;Pcna;Mcm2;Mcm5;Top2a;Ccnd1;Ccnb1,0.9857142857142857
dorsal_DG,ExcitNeuron,proliferation,3,4,7,0.08366745663398788,0.09231032297157873,-0.008642866337590857,-0.130392079812146,0.9428571428571428,Mki67;Pcna;Mcm2;Mcm5;Top2a;Ccnd1;Ccnb1,0.9923857868020305
dorsal_DG,Granule,proliferation,4,4,7,0.09181982012739028,0.11945718087276458,-0.027637360745374304,-0.25970119484445997,0.7714285714285715,Mki67;Pcna;Mcm2;Mcm5;Top2a;Ccnd1;Ccnb1,0.9857142857142857
dorsal_DG,InhibNeuron,proliferation,4,3,7,0.054302753121244794,0.07294683815060739,-0.018644085029362593,-0.3603632335555632,0.5714285714285714,Mki67;Pcna;Mcm2;Mcm5;Top2a;Ccnd1;Ccnb1,0.9199999999999999
dorsal_DG,Microglia1,proliferation,3,5,7,0.25318345169867257,0.21436961401069943,0.03881383768797314,0.9294881459652531,0.19642857142857142,Mki67;Pcna;Mcm2;Mcm5;Top2a;Ccnd1;Ccnb1,0.8448979591836736
dorsal_DG,Microglia2,proliferation,4,5,7,0.19415267743654535,0.1692587168276806,0.024893960608864757,0.31571273375422,0.5873015873015873,Mki67;Pcna;Mcm2;Mcm5;Top2a;Ccnd1;Ccnb1,0.9199999999999999
dorsal_DG,Mossy,proliferation,4,3,7,0.22937871974696267,0.2246190024406761,0.004759717306286576,0.07689624545424585,0.9142857142857143,Mki67;Pcna;Mcm2;Mcm5;Top2a;Ccnd1;Ccnb1,0.9857142857142857
dorsal_DG,Oligodend1,proliferation,3,5,7,0.18198885421057606,0.13198737870094038,0.050001475509635684,0.505273706691897,0.4642857142857143,Mki67;Pcna;Mcm2;Mcm5;Top2a;Ccnd1;Ccnb1,0.8737012987012988
dorsal_DG,Oligodend2,proliferation,4,5,7,0.19827336488746689,0.165062655334828,0.033210709552638884,0.6865474611781327,0.29365079365079366,Mki67;Pcna;Mcm2;Mcm5;Top2a;Ccnd1;Ccnb1,0.8697478991596638
dorsal_DG,OPC,proliferation,4,5,7,0.32352773552869396,0.3497943521384159,-0.02626661660972196,-0.13409345063619843,0.7777777777777778,Mki67;Pcna;Mcm2;Mcm5;Top2a;Ccnd1;Ccnb1,0.9857142857142857
dorsal_DG,AstroSub1,activation,4,4,3,0.7344787385938065,0.5335664384537332,0.20091230014007333,0.5272162360748598,0.45714285714285713,Sox2;Ascl1;Fabp7,0.8737012987012988
dorsal_DG,BergGlia,activation,3,4,3,0.9601222792018169,0.835967222022205,0.12415505717961195,0.4782887029219836,0.5428571428571428,Sox2;Ascl1;Fabp7,0.9199999999999999
dorsal_DG,Endothelial,activation,3,4,3,0.04061605000835006,0.06096053573731017,-0.02034448572896011,-0.2674486398827443,0.6571428571428571,Sox2;Ascl1;Fabp7,0.9535464535464536
dorsal_DG,ExcitNeuron,activation,3,4,3,0.0,0.05531614880767737,-0.05531614880767737,-1.2305620012651637,0.14285714285714285,Sox2;Ascl1;Fabp7,0.7392857142857142
dorsal_DG,Granule,activation,4,4,3,0.3747737588196287,0.20780958297868757,0.16696417584094114,0.5851380726352949,0.37142857142857144,Sox2;Ascl1;Fabp7,0.8697478991596638
dorsal_DG,InhibNeuron,activation,4,3,3,0.1206603613719472,0.14565722367782163,-0.02499686230587443,-0.25674409694778666,0.7428571428571429,Sox2;Ascl1;Fabp7,0.9857142857142857
dorsal_DG,Microglia1,activation,3,5,3,0.07019342210747155,0.0567778624451442,0.013415559662327353,0.19599033170643004,0.75,Sox2;Ascl1;Fabp7,0.9857142857142857
dorsal_DG,Microglia2,activation,4,5,3,0.004533206558925588,0.06079206337700227,-0.056258856818076686,-0.7517805858033475,0.4444444444444444,Sox2;Ascl1;Fabp7,0.8737012987012988
dorsal_DG,Mossy,activation,4,3,3,0.029423922607779263,0.0,0.029423922607779263,1.624331956746197,0.14285714285714285,Sox2;Ascl1;Fabp7,0.7392857142857142
dorsal_DG,Oligodend1,activation,3,5,3,0.489235359701733,0.5616061790867413,-0.07237081938500828,-0.34439988925617365,0.6071428571428571,Sox2;Ascl1;Fabp7,0.9233576642335768
