dataset,contrast,gene,effect,statistic,p_value,q_value,within_contrast_rank
GSE197622,dorDG_AstroSub1_FT_vs_Sham,Cuedc2,0.49076159888655746,9.550893424551193,0.00017462181859254598,0.7626801172147514,1.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,Gna13,-1.3945017703212381,-14.460535070310849,0.00022737396399454517,0.7626801172147514,2.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,Cpd,-1.2154065326850747,-7.443017826500052,0.0003340796117627968,0.7626801172147514,3.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,LOC680385,0.65408981230824,7.228049231564217,0.0003639324279101689,0.7626801172147514,4.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,Cox6a1,0.37398560907843326,8.243237578519057,0.0004267162318849748,0.7626801172147514,5.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,Taf2,-0.8771119808838836,-9.225340728482156,0.0004727710262725887,0.7626801172147514,6.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,Per3,-1.5131564541162412,-10.694743086791586,0.0005501743952105436,0.7626801172147514,7.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,RGD1311648,-1.196220876892367,-6.393535339435945,0.000761102260413071,0.7626801172147514,8.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,Oxr1,-1.5025478643966648,-6.3703192431333875,0.0007761896258215328,0.7626801172147514,9.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,Nars,1.310136594026033,6.3150919414027555,0.000920662415932187,0.7626801172147514,10.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,LOC687311,1.4204193432479064,7.029598192637751,0.0009428308363411871,0.7626801172147514,11.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,Tex12,0.3273857906532309,5.72943434621015,0.0012299369679609914,0.7626801172147514,12.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,LOC687864,0.38708911135385415,11.79454541567909,0.001310089300151604,0.7626801172147514,13.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,Cyp2d5,-0.9670975360281937,-6.074320324676074,0.0013509796580482968,0.7626801172147514,14.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,Rps15al4,0.8333322142589812,5.760072767413377,0.001402413000887173,0.7626801172147514,15.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,Myeov2,1.4994137223050963,6.253199912893008,0.0014381318285421145,0.7626801172147514,16.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,Hddc3,1.028122093135957,5.546422332174006,0.0014509074239237672,0.7626801172147514,17.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,Rbbp8,-0.7378101403984427,-5.680532909870629,0.0014843069512155281,0.7626801172147514,18.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,Tlr2,0.4180680911004291,11.289686700061228,0.0014903647875587306,0.7626801172147514,19.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,AABR06038873.1,1.1303068182993106,5.6888999551742305,0.0017135095697952101,0.7626801172147514,20.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,Macf1,-0.9387482197362687,-5.225343035518551,0.0020251091263023334,0.7626801172147514,21.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,Rit2,-0.8905277732868464,-5.212827698639026,0.0021327745860114595,0.7626801172147514,22.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,Ncor1,-1.2836671098725008,-5.571109076673297,0.0021431038022617804,0.7626801172147514,23.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,Sfpq,0.7713385388639307,5.276564439746966,0.0022043223187361302,0.7626801172147514,24.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,Brsk1,-1.468238260593981,-9.698210682325078,0.002328187921551557,0.7626801172147514,25.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,Glyr1,-1.2718153166803423,-5.04971899644839,0.002539905928663044,0.7626801172147514,26.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,Ctnnd1,-1.015860216376189,-5.671075861953229,0.0027239782359589062,0.7626801172147514,27.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,Psenen,0.7133841094528185,4.923391585177857,0.0027397811888185295,0.7626801172147514,28.0
