dataset,contrast,context,treated,control,program,measured_genes,n_treated,n_control,score_difference,hedges_g,standard_error,p_value,permutations,role,q_global,q_dataset
GSE197622,dorDG_AstroSub1_FT_vs_Sham,dorDG:AstroSub1,FT,Sham,extent_composite,1187,4,4,-0.016711621171043974,-0.09542145239344942,0.70764311000066,0.9714285714285714,70,cell_type_map,1.0,1.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,dorDG:AstroSub1,FT,Sham,integration_composite,1114,4,4,-0.04237895623915046,-0.24170655077241862,0.7105409944006457,0.8,70,cell_type_map,0.9099099099099099,1.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,dorDG:AstroSub1,FT,Sham,neurogenesis,1171,4,4,-0.016191915573983466,-0.09208655293085379,0.707606289614894,0.9714285714285714,70,cell_type_map,1.0,1.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,dorDG:AstroSub1,FT,Sham,neuron_differentiation,941,4,4,-0.025697013939653398,-0.14823933808165293,0.7084004812107159,0.9428571428571428,70,cell_type_map,0.9867822318526543,1.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,dorDG:AstroSub1,FT,Sham,neuron_maturation,40,4,4,-0.19256203094198382,-1.289623421782276,0.7991207965638146,0.08571428571428572,70,cell_type_map,0.21846965699208443,0.42933333333333334
GSE197622,dorDG_AstroSub1_FT_vs_Sham,dorDG:AstroSub1,FT,Sham,neuronal_survival,169,4,4,0.08572592122093639,0.40702558881743356,0.7168024966214065,0.8,70,cell_type_map,0.9099099099099099,1.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,dorDG:AstroSub1,FT,Sham,precursor_proliferation,91,4,4,-0.12883361589768258,-0.42889120215109927,0.7178641737405607,0.6,70,cell_type_map,0.7913199419305255,0.9630541871921181
GSE197622,dorDG_AstroSub1_FT_vs_Sham,dorDG:AstroSub1,FT,Sham,projection_development,658,4,4,-0.0050478140566186,-0.02783091156541264,0.7071524210780494,1.0,70,cell_type_map,1.0,1.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,dorDG:AstroSub1,FT,Sham,synapse_organization,373,4,4,-0.11977542303137506,-0.6028168067283366,0.7282048763039463,0.34285714285714286,70,cell_type_map,0.5700516351118761,0.7829787234042553
GSE197622,dorDG_AstroSub1_FT_vs_Sham,dorDG:AstroSub1,FT,Sham,synaptic_plasticity,224,4,4,-0.10061738877570199,-0.5498865793268232,0.7247054142962593,0.4,70,cell_type_map,0.6222222222222222,0.8586666666666667
GSE197622,dorDG_AstroSub1_FT_vs_Sham,dorDG:AstroSub1,FT,Sham,extent_exclusive,427,4,4,-0.0032988595220552093,-0.01884092535013191,0.707127698301849,1.0,70,cell_type_map,1.0,1.0
GSE197622,dorDG_AstroSub1_FT_vs_Sham,dorDG:AstroSub1,FT,Sham,integration_exclusive,354,4,4,-0.08130529925509028,-0.4464480881816242,0.7187556315977072,0.5142857142857142,70,cell_type_map,0.7263157894736841,0.9384808537350912
GSE197622,dorDG_AstroSub1_FT_vs_Sham,dorDG:AstroSub1,FT,Sham,integration_bias,1541,4,4,-0.17815096470373956,-1.2149234787902305,0.7893055523325423,0.17142857142857143,70,cell_type_map,0.3508474576271186,0.552
GSE197622,dorDG_AstroSub1_FT_vs_Sham,dorDG:AstroSub1,FT,Sham,exclusive_integration_bias,781,4,4,-0.5082840627184262,-1.155964112771753,0.7818915648400457,0.14285714285714285,70,cell_type_map,0.30131004366812225,0.4842105263157895
GSE197622,dorDG_BergGlia_FT_vs_Sham,dorDG:BergGlia,FT,Sham,extent_composite,809,3,4,-0.015189499915763531,-0.04323418722812785,0.7638849735581013,0.9714285714285714,35,cell_type_map,1.0,1.0
GSE197622,dorDG_BergGlia_FT_vs_Sham,dorDG:BergGlia,FT,Sham,integration_composite,802,3,4,-0.05438554779968603,-0.16031967498373764,0.7654433833746441,0.9142857142857143,35,cell_type_map,0.9705494505494505,1.0
GSE197622,dorDG_BergGlia_FT_vs_Sham,dorDG:BergGlia,FT,Sham,neurogenesis,801,3,4,-0.019769320634783406,-0.05596386790085448,0.7639676228639377,0.9714285714285714,35,cell_type_map,1.0,1.0
GSE197622,dorDG_BergGlia_FT_vs_Sham,dorDG:BergGlia,FT,Sham,neuron_differentiation,656,3,4,-0.025881620844233934,-0.06954247229396757,0.7640791509252226,0.9714285714285714,35,cell_type_map,1.0,1.0
GSE197622,dorDG_BergGlia_FT_vs_Sham,dorDG:BergGlia,FT,Sham,neuron_maturation,33,3,4,0.09632037421555578,0.17565421108107357,0.7657798466402631,0.8571428571428571,35,cell_type_map,0.9441277080957811,1.0
GSE197622,dorDG_BergGlia_FT_vs_Sham,dorDG:BergGlia,FT,Sham,neuronal_survival,125,3,4,-0.021006877457741345,-0.07047118035579458,0.7640876599313767,0.9142857142857143,35,cell_type_map,0.9705494505494505,1.0
GSE197622,dorDG_BergGlia_FT_vs_Sham,dorDG:BergGlia,FT,Sham,precursor_proliferation,63,3,4,0.005943296209132786,0.01550169668447264,0.7637783471618864,0.9714285714285714,35,cell_type_map,1.0,1.0
GSE197622,dorDG_BergGlia_FT_vs_Sham,dorDG:BergGlia,FT,Sham,projection_development,470,3,4,-0.052771444536682255,-0.14080734965154218,0.7650594776257089,0.9428571428571428,35,cell_type_map,0.9867822318526543,1.0
GSE197622,dorDG_BergGlia_FT_vs_Sham,dorDG:BergGlia,FT,Sham,synapse_organization,267,3,4,-0.09100140707578966,-0.2263519791644862,0.767109415390335,0.9142857142857143,35,cell_type_map,0.9705494505494505,1.0
GSE197622,dorDG_BergGlia_FT_vs_Sham,dorDG:BergGlia,FT,Sham,synaptic_plasticity,179,3,4,-0.05277024648514628,-0.22890599379079468,0.7671851984577573,0.8285714285714286,35,cell_type_map,0.9339556592765462,1.0
GSE197622,dorDG_BergGlia_FT_vs_Sham,dorDG:BergGlia,FT,Sham,extent_exclusive,260,3,4,0.03264105542062498,0.09964389183107211,0.7644123388926016,0.9428571428571428,35,cell_type_map,0.9867822318526543,1.0
GSE197622,dorDG_BergGlia_FT_vs_Sham,dorDG:BergGlia,FT,Sham,integration_exclusive,253,3,4,-0.0902854920716731,-0.3081663667812898,0.7699545339140821,0.7142857142857143,35,cell_type_map,0.8625,0.9787234042553191
GSE197622,dorDG_BergGlia_FT_vs_Sham,dorDG:BergGlia,FT,Sham,integration_bias,1062,3,4,-0.15105116893705683,-1.127861681029012,0.8429356621277168,0.22857142857142856,35,cell_type_map,0.42113662852299216,0.6280602636534839
GSE197622,dorDG_BergGlia_FT_vs_Sham,dorDG:BergGlia,FT,Sham,exclusive_integration_bias,513,3,4,-0.5212885675037667,-1.1051115449811952,0.8399169518579833,0.2,35,cell_type_map,0.3825742574257426,0.6075471698113208
GSE197622,dorDG_Endothelial_FT_vs_Sham,dorDG:Endothelial,FT,Sham,extent_composite,1193,3,4,-0.1801231150110783,-1.6078611447784446,0.9175266096534522,0.05714285714285714,35,cell_type_map,0.15637393767705382,0.39999999999999997
GSE197622,dorDG_Endothelial_FT_vs_Sham,dorDG:Endothelial,FT,Sham,integration_composite,1116,3,4,-0.17773781636100588,-1.5729062743393916,0.9114476112860003,0.05714285714285714,35,cell_type_map,0.15637393767705382,0.39999999999999997
GSE197622,dorDG_Endothelial_FT_vs_Sham,dorDG:Endothelial,FT,Sham,neurogenesis,1176,3,4,-0.1798566120476015,-1.588262390722028,0.9141067090397809,0.05714285714285714,35,cell_type_map,0.15637393767705382,0.39999999999999997
GSE197622,dorDG_Endothelial_FT_vs_Sham,dorDG:Endothelial,FT,Sham,neuron_differentiation,939,3,4,-0.1824092886721222,-1.5637819778855413,0.9098762227738975,0.05714285714285714,35,cell_type_map,0.15637393767705382,0.39999999999999997
