dataset,contrast,split,first_half_g,second_half_g
GSE309750,GC,0,0.6992504225723889,-0.03479976308256083
GSE309750,GC,1,0.9578412018125088,0.006522134885517328
GSE309750,GC,2,-0.2618536437622585,0.7981725396056654
GSE309750,GC,3,0.2955190005609707,0.2864760721323088
GSE309750,GC,4,0.7074071849503453,0.030743202614863983
GSE309750,GC,5,-0.0972078328443103,0.7997731969569147
GSE309750,GC,6,1.1121250050906033,-0.6931621943195752
GSE309750,GC,7,1.3587654545209749,-0.38687189393879373
GSE309750,GC,8,-0.06101570414523718,1.2621466361919795
GSE309750,GC,9,-0.4139249044594428,0.9242841491000149
GSE309750,GC,10,0.47477434510454986,-0.0263300919259998
GSE309750,GC,11,0.9640305033788678,-0.6252142044522078
GSE309750,GC,12,0.7443479352009308,-0.17766774568211757
GSE309750,GC,13,0.047125627287085775,0.5954131082092258
GSE309750,GC,14,-0.2952597084884016,1.0656146760455472
GSE309750,GC,15,0.33029243450647766,0.25516875543117873
GSE309750,GC,16,-0.278492134107633,2.813874472599675
GSE309750,GC,17,-0.0808471341299129,0.7932792515552124
GSE309750,GC,18,0.3178498017284344,0.2917840040356828
GSE309750,GC,19,0.5839116356934461,-0.11265464566943159
GSE309750,GC,20,-0.10945392801717962,1.0798590916315192
GSE309750,GC,21,0.5371381949923647,-0.06854762810455516
GSE309750,GC,22,0.43291459656898496,0.18379102064524364
GSE309750,GC,23,0.5103103013137709,-0.05956879726469048
GSE309750,GC,24,0.012495939268995053,0.8022091701027978
GSE309750,GC,25,-0.11575667150614084,1.166762562629033
GSE309750,GC,26,0.20326606939971853,0.4042723924744077
GSE309750,GC,27,0.036497664514427625,0.4286121935356714
GSE309750,GC,28,-0.1312406534119531,0.6315507378879516
GSE309750,GC,29,-0.21621730197508227,0.8073334980001147
GSE309750,GC,30,0.02628833257915656,0.5662885619304361
GSE309750,GC,31,1.0843169050314938,-0.12382771258526015
GSE309750,GC,32,0.07284750195669987,0.5958191240006329
GSE309750,GC,33,-0.08567815557935095,0.7282479484980258
GSE309750,GC,34,0.10799276702198336,0.5348997991614662
GSE309750,GC,35,1.2712446919676879,-0.5461009858326474
GSE309750,GC,36,1.216660407502515,-0.731336145754283
GSE309750,GC,37,0.1756829551298148,0.746918287327166
GSE309750,GC,38,-0.0899068497103007,0.917397602115796
GSE309750,GC,39,0.09177180572217848,0.4366644402018422
GSE309750,GC,40,-0.11595681717058068,0.6913658567065095
GSE309750,GC,41,0.7883832378320691,-0.11903603871774063
GSE309750,GC,42,0.33721191053538724,0.23753828908363878
GSE309750,GC,43,0.7847643380353888,-0.041483395720356066
GSE309750,GC,44,0.46944099487099405,0.09783585737390978
GSE309750,GC,45,-0.6891130307035591,1.5702045474761377
GSE309750,GC,46,0.5656486369600999,0.03775807405500461
GSE309750,GC,47,0.6780236443396661,0.06373592771147862
GSE309750,GC,48,-0.5021025646367019,1.332834502203556
GSE309750,GC,49,1.2464619501475904,-0.870203955851439
GSE309750,GC,50,-0.2790331526316561,0.9453870724770792
GSE309750,GC,51,-0.12267583728686748,0.9795745752571235
GSE309750,GC,52,0.5587455430842264,0.016241774394802164
GSE309750,GC,53,0.9227693264197633,-0.33308770388371856
GSE309750,GC,54,0.4979134633252883,0.016209076749930048
GSE309750,GC,55,0.4986700722785165,0.12689342659907432
GSE309750,GC,56,0.32724282060325544,0.1541073556793295
GSE309750,GC,57,-0.024354657948419327,0.8153104191442828
GSE309750,GC,58,0.5309382378102679,-0.09350939382696052
GSE309750,GC,59,-0.04252488910002789,0.8960405158932954
GSE309750,GC,60,0.23752828168752496,0.30135044240348813
GSE309750,GC,61,-0.7552348010179185,1.0822330002556244
GSE309750,GC,62,-0.47403847266747573,0.9234242227904945
GSE309750,GC,63,-0.3440386800986369,0.7996153064046293
GSE309750,GC,64,1.1502998452190012,-0.36669865840200594
GSE309750,GC,65,-0.3641475356843516,1.6720575688381025
GSE309750,GC,66,-0.13696463364514438,0.701855432195491
GSE309750,GC,67,0.08365003022847735,0.2546823862919171
GSE309750,GC,68,-0.3286508015019054,0.6861150832393857
GSE309750,GC,69,1.3984012159283885,-0.5344684169881893
GSE309750,GC,70,1.1524541040549843,-0.21374686176898164
GSE309750,GC,71,1.2898158037510463,-0.39022879259719523
GSE309750,GC,72,-0.5314940452953129,1.09734315759531
GSE309750,GC,73,2.170524555610912,-0.6331926208090282
GSE309750,GC,74,0.08406237139133739,0.49082866454599605
GSE309750,GC,75,1.6170731592109544,-0.8130576517581765
GSE309750,GC,76,-0.30065561663282425,0.6912925896812425
GSE309750,GC,77,-0.8331258424300458,1.0882676563259939
GSE309750,GC,78,0.4168752612410671,0.18320732516594854
GSE309750,GC,79,0.10302566436972528,0.7259629886685536
GSE309750,GC,80,1.598323169829627,-0.3036046444392803
GSE309750,GC,81,0.6459132215202574,-0.1822867581204801
GSE309750,GC,82,0.14718344577979675,0.30457551049073617
GSE309750,GC,83,0.40498203365349733,0.10653424625029877
GSE309750,GC,84,-0.23834478948540624,0.7746848884849517
GSE309750,GC,85,0.7230553882459698,-0.05848179873898474
GSE309750,GC,86,-0.4380950866407463,0.738758573964884
GSE309750,GC,87,1.129886232880897,-0.14169756342444814
GSE309750,GC,88,-0.5780047203899686,1.2670477566430387
GSE309750,GC,89,0.7394395214903683,-0.09017929363410704
GSE309750,GC,90,0.39644586661047,0.18526517916417823
GSE309750,GC,91,0.05096650832078379,0.769879996278095
GSE309750,GC,92,1.3539813134246825,-0.08376315456442697
GSE309750,GC,93,-0.044327000185174804,0.8189521198192244
GSE309750,GC,94,0.12100133805165135,0.4846904470324539
GSE309750,GC,95,-0.2538315978179152,1.5793759970257348
GSE309750,GC,96,0.15166381802953152,0.4982959496328633
GSE309750,GC,97,0.7746889496139312,0.03971252486574593
GSE309750,GC,98,-0.26564303450700555,0.7254295338296691
GSE309750,GC,99,1.1710800402593369,-0.3354054693821481
GSE309750,GC,100,-0.08695264797043374,0.6032958569267114
GSE309750,GC,101,-0.05351702499609073,0.6678092913244589
GSE309750,GC,102,-0.06821062988835618,0.5136318011694572
GSE309750,GC,103,0.8969766696519565,-0.40679634022731903
GSE309750,GC,104,-0.1379461754858295,1.2683017483936307
GSE309750,GC,105,0.624075251069491,-0.4412733071247164
GSE309750,GC,106,1.2551144667306942,-0.7328443766009909
GSE309750,GC,107,1.2659792169092443,-0.8143102163567243
GSE309750,GC,108,0.7443867582187772,0.05277538896429889
GSE309750,GC,109,-0.16996369583011542,1.1354884339905613
GSE309750,GC,110,-0.013430081021651049,0.874105291492127
GSE309750,GC,111,1.4134518408751973,-0.6929770198095637
GSE309750,GC,112,0.3630777341505966,0.129166176817814
GSE309750,GC,113,0.3401850331045134,0.28511626053058114
GSE309750,GC,114,0.29636963464177607,0.14679363346579913
GSE309750,GC,115,0.053505710967411906,0.6832202114632251
GSE309750,GC,116,0.6816867939220319,-0.13013015454882765
GSE309750,GC,117,0.7231104801809961,0.10392211064554331
GSE309750,GC,118,0.37540542320153125,0.26435383389129247
GSE309750,GC,119,0.0965057250498492,0.6822141483568467
GSE309750,GC,120,0.3787407722095946,0.10945477437972453
GSE309750,GC,121,0.4461204398240203,0.0327422712900985
GSE309750,GC,122,-0.04432560434166113,0.41532300568462666
GSE309750,GC,123,0.3788167099376401,-0.01396372637267422
GSE309750,GC,124,0.20302720394117957,0.33536248398094326
GSE309750,GC,125,0.44223959184459644,0.2392808896920406
GSE309750,GC,126,0.6682923314112525,-0.05502263727551018
GSE309750,GC,127,0.49103509608832224,0.11097718538224027
GSE309750,GC,128,0.637783612217858,-0.08215574806734552
GSE309750,GC,129,0.1679907399816737,0.43899162147872534
GSE309750,GC,130,1.0394968355011707,-0.3464027342899855
GSE309750,GC,131,0.25213102898761597,0.3335238685193852
GSE309750,GC,132,0.7103423941463756,-0.01938632149994831
GSE309750,GC,133,0.9369764554316554,-0.22626397775615012
GSE309750,GC,134,0.6413683975275648,-0.13130101509623188
GSE309750,GC,135,-0.2876847850201039,1.4281278315012549
GSE309750,GC,136,-0.1254416118903042,0.8351462668477823
GSE309750,GC,137,1.0737438241140873,-0.5344260410562829
GSE309750,GC,138,-0.9791952485089034,2.139116635884729
GSE309750,GC,139,-0.3540855515944735,0.8793372701524301
GSE309750,GC,140,0.03320550579616233,0.6998486455264799
GSE309750,GC,141,0.3094611294296208,0.1727500381481857
GSE309750,GC,142,0.20517580719029985,0.2982706381147138
GSE309750,GC,143,-0.2146361366426524,1.1023037936504636
GSE309750,GC,144,-0.07819369661178287,0.8311607008613523
GSE309750,GC,145,0.1807953088928708,0.37955877043695463
GSE309750,GC,146,0.010837181799814088,0.5376519493198906
GSE309750,GC,147,2.4431583711546194,-0.8961374070501649
GSE309750,GC,148,-0.503592527672571,1.564420028294821
GSE309750,GC,149,-0.012445652956209613,0.5861281438246562
GSE309750,GC,150,-0.05588870410456712,0.6889271092678815
GSE309750,GC,151,-0.021709071544840704,0.7908181753612892
GSE309750,GC,152,0.07147010006672555,0.6008067913069391
GSE309750,GC,153,0.3313492246531981,0.2532577730093123
GSE309750,GC,154,2.0798578632344396,-0.5248091091614275
GSE309750,GC,155,0.6627467879086518,0.09890621748844931
GSE309750,GC,156,0.9398743852159546,-0.20798892528923035
GSE309750,GC,157,0.042243422409402515,0.6140998071882278
GSE309750,GC,158,0.7049318959100616,-0.002922975309940605
GSE309750,GC,159,-0.09606963640675314,0.6092766377720956
GSE309750,GC,160,0.10916473911514776,0.46349449659126085
GSE309750,GC,161,0.8821412237072577,-0.6335739101210826
GSE309750,GC,162,-0.17755724456791344,0.7504488035871673
GSE309750,GC,163,0.9987184572117697,-0.20717442996610158
GSE309750,GC,164,-0.4915666656428015,1.1885043501226942
GSE309750,GC,165,0.6054314506243856,-0.010990438794412572
GSE309750,GC,166,-0.16666579160106723,0.76663734660035
GSE309750,GC,167,0.43157134564319144,0.19565863422256516
GSE309750,GC,168,0.3853540118850879,0.2765427901133758
GSE309750,GC,169,1.0018060129151016,-0.5150541945584339
GSE309750,GC,170,0.9640705533814128,-0.26228163396035803
GSE309750,GC,171,-0.06727271440800109,0.5748616820860056
GSE309750,GC,172,-0.23252822342236174,0.8530607877595243
GSE309750,GC,173,0.5057326026798529,0.022152527902619044
GSE309750,GC,174,0.6858161578160392,-0.11824249584603079
GSE309750,GC,175,0.4373279098049524,0.14585409297787405
GSE309750,GC,176,0.03135478135421141,0.5982613931201294
GSE309750,GC,177,0.7266951249794328,0.046476502562554894
GSE309750,GC,178,0.29666689610294794,0.3650093173788517
GSE309750,GC,179,0.06184373667977576,0.31874918324481766
GSE309750,GC,180,0.2781825717321066,0.22651152513569178
GSE309750,GC,181,-0.18746706651416123,0.6657118171651705
GSE309750,GC,182,0.7289278099457188,0.18062094448415106
GSE309750,GC,183,0.6568164575840375,-0.13272991410275983
GSE309750,GC,184,0.416199967492583,0.08960867761413392
GSE309750,GC,185,1.1964766887684948,-0.2973154652114446
GSE309750,GC,186,-0.5261067782294014,0.82369358222084
GSE309750,GC,187,-0.2281615259368287,0.9169373570998921
GSE309750,GC,188,0.9481049813993054,-0.06872252513677825
GSE309750,GC,189,-0.3301462802926449,0.8151448553578171
GSE309750,GC,190,0.8822914244628137,-0.46368959196334375
GSE309750,GC,191,0.8190198996936429,-0.04942506538640938
GSE309750,GC,192,-0.36606628728358265,0.6947879881263931
GSE309750,GC,193,0.23580611984700262,0.3168493518756751
GSE309750,GC,194,0.626170812530824,-0.2107247470128922
GSE309750,GC,195,0.6817467152199894,-0.12923039898067323
GSE309750,GC,196,0.20215296051438686,0.1861914956176489
GSE309750,GC,197,0.026129519412820525,0.6501931297582471
GSE309750,GC,198,0.6559599186145422,-0.07739452879978895
GSE309750,GC,199,0.9080541508613733,-0.4722961699709012
GSE309750,HC,0,1.560402698470642,1.8287710152302958
GSE309750,HC,1,1.9874538033386415,1.130253306470727
GSE309750,HC,2,2.1611376891708547,1.437456247179648
GSE309750,HC,3,1.2694026886892171,2.224403066922834
GSE309750,HC,4,1.3923336537418203,1.8385963460229537
GSE309750,HC,5,1.338455446160859,1.8915092178255843
GSE309750,HC,6,1.05411041367722,2.4689535978563986
GSE309750,HC,7,1.7238765875493305,1.613733114281707
GSE309750,HC,8,1.0804639209353848,2.2624945894804793
GSE309750,HC,9,1.5298857546169646,1.7893520419059705
GSE309750,HC,10,1.6991021070538466,1.6584943557478475
GSE309750,HC,11,2.056588458458751,1.2955789331800645
GSE309750,HC,12,1.6717698934020555,1.669544222754232
GSE309750,HC,13,2.3548902761636223,1.163917646444422
GSE309750,HC,14,2.0726413312495118,1.2134822040445683
GSE309750,HC,15,2.454644137467234,1.0991490048463664
GSE309750,HC,16,1.1892830891109274,2.336207439668762
GSE309750,HC,17,1.4357997205837205,1.8905537930384835
GSE309750,HC,18,1.2403216227904648,2.2024921210143606
GSE309750,HC,19,1.747946136969357,1.4599127591965324
GSE309750,HC,20,1.8245672372550372,1.4935189400700157
GSE309750,HC,21,1.6894453848198219,1.6744675160971125
GSE309750,HC,22,1.128740602357007,2.1460474799274443
GSE309750,HC,23,1.5555806469419933,1.8020309883135976
GSE309750,HC,24,1.9541311979791383,1.5048159259899365
GSE309750,HC,25,0.9389397166767912,2.3218283524915386
GSE309750,HC,26,1.1694968507843626,2.183841313924822
GSE309750,HC,27,1.2914053885391,1.9961467594978008
GSE309750,HC,28,1.1907614280290248,2.1019594568851265
GSE309750,HC,29,1.4210777640578143,2.0610499831191
GSE309750,HC,30,1.6027545671402008,1.716989893263707
GSE309750,HC,31,1.5184975850536977,1.8658168792212162
GSE309750,HC,32,0.5490605094609871,2.058219235016529
GSE309750,HC,33,1.2987102398441128,1.9839389189055148
GSE309750,HC,34,1.422975326091816,2.1145559499036017
GSE309750,HC,35,1.425469587281665,1.9592161286654053
GSE309750,HC,36,2.1253642414435188,1.3408327401922155
GSE309750,HC,37,1.706929197089521,1.6391072211593443
GSE309750,HC,38,2.1288676919952416,1.3637776579220375
GSE309750,HC,39,2.315320781769416,1.215504193039455
GSE309750,HC,40,1.6073998128203302,1.7218229157230474
GSE309750,HC,41,1.7064106376098431,1.6144660293546786
GSE309750,HC,42,0.7379139034491964,2.362132013068201
GSE309750,HC,43,1.40871051121925,1.8016831260787933
GSE309750,HC,44,2.2024420090326755,1.3047587226746034
GSE309750,HC,45,1.6998068950653995,1.6472335097042083
GSE309750,HC,46,1.6611648374720127,1.603339965929257
GSE309750,HC,47,1.6186161288823806,1.4911748660809028
GSE309750,HC,48,1.273800121882795,2.1382566086475228
GSE309750,HC,49,0.8508020247217967,2.365901226108389
GSE309750,HC,50,1.5716416218131504,1.7624839340377259
GSE309750,HC,51,1.6116996720228092,1.5459149080720476
GSE309750,HC,52,1.76620595840829,1.5404348042200655
GSE309750,HC,53,1.5012678708160885,1.7263445906862207
GSE309750,HC,54,1.7190443419471069,1.711664489784439
GSE309750,HC,55,1.3697362192983344,2.1392269218109132
GSE309750,HC,56,1.991531977568861,1.1143634202951087
GSE309750,HC,57,1.8609999218279856,1.3745236306322715
GSE309750,HC,58,2.073751518366297,1.3163656102618795
GSE309750,HC,59,2.002653085850799,1.222066969045723
GSE309750,HC,60,2.1302612733766106,1.1009081621767487
GSE309750,HC,61,1.0648853933483813,2.087505509070926
