dataset,contrast,scoring,p_value,hedges_g,loo_min_g,loo_max_g,loo_positive_fraction,integration_genes,extent_genes
GSE309750,GC,unit_variance,0.5428571428571428,0.3582230268817204,-0.19891804460181695,0.96526581228409,0.875,454,519
GSE309750,GC,gene_z,0.5428571428571428,0.36927792214351357,-0.18453717103497036,0.7766036715159775,0.875,454,519
GSE309750,GC,sample_rank,0.9428571428571428,0.05434548272040547,-0.2492139901701245,1.2527218247447713,0.5,454,519
GSE309750,HC,unit_variance,0.17832167832167833,0.734909113982416,0.5417884710178189,0.8705286980032543,1.0,525,539
GSE309750,HC,gene_z,0.006993006993006993,1.742244703796669,1.5745881666256052,2.039957682578617,1.0,525,539
GSE309750,HC,sample_rank,0.0017482517482517483,1.9607368879992655,1.784182084182037,2.2312020583943677,1.0,525,539
GSE309750,MC,unit_variance,0.0011655011655011655,3.756777619795894,3.251623146391511,5.823606403948988,1.0,470,526
GSE309750,MC,gene_z,0.0011655011655011655,2.649219867703536,2.3851291223992166,3.1738818014302566,1.0,470,526
GSE309750,MC,sample_rank,0.002913752913752914,2.2297902714601543,2.0415215752191,2.806254357121432,1.0,470,526
GSE43261,Dorsal dentate gyrus,unit_variance,0.00909090909090909,1.8639653345792873,1.607279934895946,2.476812441617516,1.0,432,549
GSE43261,Dorsal dentate gyrus,gene_z,0.01818181818181818,1.7497536900829713,1.5471686912410074,2.605780463220781,1.0,432,549
GSE43261,Dorsal dentate gyrus,sample_rank,0.03939393939393939,1.473709046038124,1.215456704303256,1.8384201565657725,1.0,432,549
GSE43261,Ventral dentate gyrus,unit_variance,0.4818181818181818,0.4248067088989744,0.11351892437915169,1.0626858056012012,1.0,432,549
GSE43261,Ventral dentate gyrus,gene_z,0.4575757575757576,0.43436782537775037,0.18854108285931748,1.0911857569686088,1.0,432,549
GSE43261,Ventral dentate gyrus,sample_rank,0.8606060606060606,0.1031157632511497,-0.24351989164528587,0.5545958397418079,0.6363636363636364,432,549
